Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Independiente Santa Fe,1.00,0.94,0.06,0.92,0.94,-0.02,0.08,0.00,0.08,1.00,0.94,0.06,1,1,0,-0.06,62.60,63.91,54.37,1.25,0.86,318,15,19,6,15.2,6.98,7.22,6,0,27,5,8,205.7,82.35,28.0,26.58,129.0,74.68,1,Independiente Santa Fe 1-1 Águilas Doradas,2026-01-18
Deportes Tolima,1.18,1.05,0.13,1.18,0.85,0.33,0.00,0.20,-0.20,1.18,1.05,0.13,2,0,2,1.87,33.60,17.38,40.85,0.35,0.79,83,6,8,21,22.86,26.58,13.70,4,9,5,1,13,12.4,4.76,111.07,90.64,56.03,53.38,0,Junior 0-2 Deportes Tolima,2026-01-18
Junior,1.05,1.18,-0.13,0.85,1.18,-0.33,0.20,0.00,0.20,1.05,1.18,-0.13,0,2,-2,-1.87,66.40,82.62,54.96,0.79,0.35,357,20,21,8,26.58,22.86,6.79,9,4,22,12,11,248.2,95.24,11.47,9.36,48.93,46.62,0,Junior 0-2 Deportes Tolima,2026-01-18
Deportivo Cali,0.61,0.51,0.10,0.61,0.22,0.39,0.00,0.29,-0.29,0.61,0.51,0.10,0,1,-1,-1.10,55.30,58.25,48.48,0.68,0.37,210,12,9,6,13.24,16.22,9.00,4,1,15,1,15,113.1,69.6,26.0,30.12,87.13,56.98,2,Jaguares de Córdoba 1-0 Deportivo Cali,2026-01-18
Jaguares de Córdoba,0.51,0.61,-0.10,0.22,0.61,-0.39,0.29,0.00,0.29,0.51,0.61,-0.10,1,0,1,1.10,44.70,41.75,43.32,0.37,0.68,123,10,6,9,16.22,13.24,13.72,1,4,15,7,17,49.4,30.4,60.33,69.88,65.77,43.02,0,Jaguares de Córdoba 1-0 Deportivo Cali,2026-01-18
Independiente Medellín,1.61,1.30,0.31,1.41,0.48,0.93,0.20,0.07,0.13,1.61,0.54,1.07,0,1,-1,-1.31,57.30,67.29,49.55,0.8,0.23,165,6,14,7,17.5,30.43,5.26,5,1,19,5,12,124.0,80.05,37.53,46.68,122.8,75.88,1,Deportivo Pasto 1-0 Independiente Medellín,2026-01-18
Deportivo Pasto,1.30,1.61,-0.31,0.48,1.41,-0.93,0.07,0.20,-0.13,0.54,1.61,-1.07,1,0,1,1.31,42.70,32.71,42.06,0.23,0.8,95,10,7,14,30.43,17.5,7.23,1,5,8,4,20,30.9,19.95,42.87,53.32,39.03,24.12,2,Deportivo Pasto 1-0 Independiente Medellín,2026-01-18
Millonarios,0.57,2.44,-1.87,0.57,1.42,-0.85,0.00,1.02,-1.02,0.57,2.44,-1.87,1,2,-1,0.87,42.10,33.33,45.95,0.84,0.98,162,11,10,18,11.9,18.37,11.51,5,4,9,2,12,54.1,21.86,103.2,78.62,47.68,20.1,2,Atlético Bucaramanga 2-1 Millonarios,2026-01-17
Atlético Bucaramanga,2.44,0.57,1.87,1.42,0.57,0.85,1.02,0.00,1.02,2.44,0.57,1.87,2,1,1,-0.87,57.90,66.67,51.52,0.98,0.84,316,17,18,10,18.37,11.9,8.38,4,5,23,6,14,193.4,78.14,28.07,21.38,189.53,79.9,0,Atlético Bucaramanga 2-1 Millonarios,2026-01-17
Boyacá Chicó,1.24,3.85,-2.61,1.24,2.84,-1.60,0.00,1.01,-1.01,1.24,3.85,-2.61,0,4,-4,-1.39,40.30,33.62,43.16,0.32,1.04,118,6,11,25,34.38,24.04,14.93,3,2,9,2,8,18.6,10.28,88.6,85.52,27.77,12.9,1,Atlético Nacional 4-0 Boyacá Chicó,2026-01-17
Atlético Nacional,3.85,1.24,2.61,2.84,1.24,1.60,1.01,0.00,1.01,3.85,1.24,2.61,4,0,4,1.39,59.70,66.38,45.50,1.04,0.32,214,22,25,11,24.04,34.38,8.62,2,3,23,8,15,162.3,89.72,15.0,14.48,187.57,87.1,0,Atlético Nacional 4-0 Boyacá Chicó,2026-01-17
Inter Bogotá,0.44,1.41,-0.97,0.36,0.65,-0.29,0.08,0.00,0.08,0.44,0.65,-0.21,0,3,-3,-2.03,43.90,51.89,41.21,0.67,0.43,139,8,9,11,13.43,25.58,13.97,1,1,11,3,16,80.8,52.5,90.53,70.84,57.84,39.26,1,América de Cali 3-0 Inter Bogotá,2026-01-17
América de Cali,1.41,0.44,0.97,0.65,0.36,0.29,0.00,0.08,-0.08,0.65,0.44,0.21,3,0,3,2.03,56.10,48.11,41.42,0.43,0.67,173,8,11,9,25.58,13.43,10.85,1,1,3,1,19,73.1,47.5,37.27,29.16,89.49,60.74,0,América de Cali 3-0 Inter Bogotá,2026-01-17
Alianza,0.67,0.87,-0.20,0.63,0.86,-0.23,0.05,0.01,0.04,0.67,0.87,-0.20,0,1,-1,-0.80,40.60,32.14,41.31,0.43,0.91,115,4,10,11,23.26,12.09,16.96,0,4,10,2,11,32.5,21.27,105.33,76.33,53.67,43.12,2,Fortaleza 1-0 Alianza,2026-01-16
Fortaleza,0.87,0.67,0.20,0.86,0.63,0.23,0.01,0.05,-0.04,0.87,0.67,0.20,1,0,1,0.80,59.40,67.86,51.18,0.91,0.43,304,11,11,10,12.09,23.26,11.17,4,0,15,2,13,120.3,78.73,32.67,23.67,70.8,56.88,0,Fortaleza 1-0 Alianza,2026-01-16
Llaneros,1.76,0.51,1.25,0.62,0.51,0.11,0.38,0.00,0.38,1.00,0.51,0.49,2,0,2,0.75,58.80,72.91,50.58,0.6,0.52,281,12,13,7,21.67,13.46,12.14,5,1,12,5,7,151.9,78.79,43.73,31.12,117.73,68.64,0,Deportivo Pereira 0-2 Llaneros,2026-01-16
Deportivo Pereira,0.51,1.76,-1.25,0.51,0.62,-0.11,0.00,0.38,-0.38,0.51,1.00,-0.49,0,2,-2,-0.75,41.20,27.09,39.23,0.52,0.6,99,4,7,13,13.46,21.67,26.75,1,5,7,1,12,40.9,21.21,96.8,68.88,53.8,31.36,0,Deportivo Pereira 0-2 Llaneros,2026-01-16
